area,name
1,泊
1,京極
1,新冠
1,高見
1,奈井江
1,砂川
1,苫東厚真
1,石狩湾新港
1,伊達
1,北海道ﾊﾟﾜｰｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社　苫小牧共同火力3G
1,知内
1,苫小牧
1,日本製鉄（株）室蘭中央
1,釧路火力
2,女川原子力
2,第二沼沢
2,電源開発下郷
2,電源開発奥只見
2,電源開発奥清津
2,電源開発田子倉(東北)
2,仙台パワーステーション
2,勿来
2,東北電力原町火力
2,東北電力能代火力
2,相馬共同火力発電株式会社新地火力
2,相馬石炭・バイオマス
2,石巻雲雀野
2,糸魚川
2,酒田共同火力
2,上越火力
2,東北電力上越火力
2,東北電力仙台火力
2,東北電力八戸火力
2,東北電力新仙台火力
2,東北電力東新潟火力
2,福島天然ガス
2,東北電力秋田火力
2,福島いわきバイオマス
2,日本製鉄(株) 釜石火力
2,東通原子力
3,東京柏崎刈羽
3,東海第二
3,今市
3,塩原
3,安曇
3,新高瀬川
3,玉原
3,神流川
3,葛野川
3,電源開発沼原
3,常陸那珂共同火力
3,常陸那珂火力
3,広野火力
3,横須賀火力
3,神栖火力
3,鈴川エネルギーセンター
3,電源開発磯子火力
3,鹿島火力
3,中袖クリーンパワー
3,千葉火力1号系列2号系列
3,千葉火力3号系列
3,南横浜火力
3,品川火力
3,姉崎火力
3,富津火力1号系列
3,富津火力2号系列
3,富津火力3号系列4号系列
3,川崎天然ガス
3,川崎火力
3,扇島パワー
3,新中袖
3,日立造船株式会社茨城工場第一
3,東扇島火力
3,ＪＦＥスチール株式会社川鉄千葉クリーンパワーステーション
3,ゼロワットパワー株式会社　市原
3,株式会社エフビット横須賀パワー　横須賀パワーステーション
3,横浜火力
3,真岡
3,袖ケ浦火力
3,鹿島共同
3,JERA鹿島火力
3,根岸 ガス化複合
3,鹿島
3,日本製鉄 鹿島火力
4,浜岡原子力
4,奥矢作
4,奥美濃
4,徳山
4,木曽
4,電源開発御母衣
4,電源開発新豊根（中部）
4,馬瀬川第一
4,名古屋
4,名古屋第二
4,武豊火力
4,碧南火力
4,豊橋
4,四日市火力
4,川越火力3号系列
4,川越火力4号系列
4,川越火力1号系列2号機
4,新名古屋火力7号系列
4,新名古屋火力8号系列
4,知多火力
4,知多第二火力
4,西名古屋火力
4,出光愛知第3
4,渥美火力
4,四日市霞
5,北陸電力 志賀原子力
5,下小鳥
5,北陸電力 有峰
5,電源開発 手取川第一
5,電源開発 長野（北陸）
5,音沢
5,北陸電力 七尾大田火力
5,北陸電力 富山新港火力
5,北陸電力 敦賀火力
5,北陸電力 富山火力
5,北陸電力 福井火力
6,大飯
6,敦賀
6,美浜
6,高浜
6,喜撰山
6,大河内
6,奥吉野
6,奥多々良木
6,電源開発池原（関西）
6,神戸
6,舞鶴
6,電源開発高砂火力
6,南港
6,堺港
6,姫路第一
6,姫路第二
6,泉北天然ガス
6,船町
6,酉島エネルギーセンター
6,御坊
6,赤穂
6,相生バイオマス
6,日本製鉄(株) 広畑
7,島根原子力
7,俣野川
7,南原
7,三隅
7,大崎
7,宇部興産
7,新小野田
7,トクヤマ東
7,水島MZ
7,防府バイオマス
7,電源開発竹原火力
7,柳井2号系列
7,柳井1号系列
7,水島
7,玉島
7,水島製油所
7,麻里布
7,海田
8,四国電力　伊方
8,四国電力　本川
8,四国電力　橘湾
8,四国電力　西条
8,土佐
8,壬生川火力
8,新居浜西火力
8,電源開発橘湾火力
8,四国電力　坂出
8,四国電力　阿南
9,川内原子力
9,玄海原子力
9,大平
9,天山
9,小丸川
9,三池
9,日本製鉄（株） 大分製鐵
9,松浦
9,ひびき灘石炭・バイオマス
9,苅田
9,苓北
9,電源開発松島火力
9,電源開発松浦火力
9,響灘火力
9,新大分1号系列
9,新大分2号系列3号系列
9,新小倉
9,豊前
9,大分
10,具志川
10,石川石炭火力
10,金武
10,吉の浦
10,牧港
10,石川
